ID;Nome Popular;Nome Cientifico;DAP;Altura;Data Coleta;Latitude;Longitude;Laudos;Image Sources
1;Jatobá;Hymenaea courbaril;73 cm ;17 m;01/06/2020;-23,188541;-45,873596;/Arvore/DownloadLaudo/238;/Arvore/DownloadImg/13, /Arvore/DownloadImg/10, /Arvore/DownloadImg/11, /Arvore/DownloadImg/12, /Arvore/DownloadImg/14
2;Jerivá, Jeribá, Gerivá;Syagrus romanzoffiana;22 cm ;16 m;01/06/2020;-23,188532;-45,873568;;/Arvore/DownloadImg/60, /Arvore/DownloadImg/61, /Arvore/DownloadImg/62, /Arvore/DownloadImg/63
3;Sibipiruna;Cenostigma pluviosum;64 cm ;13 m;01/06/2020;-23,188528;-45,873444;/Arvore/DownloadLaudo/239;/Arvore/DownloadImg/114, /Arvore/DownloadImg/115, /Arvore/DownloadImg/116, /Arvore/DownloadImg/117, /Arvore/DownloadImg/118
4;Sibipiruna;Cenostigma pluviosum;42 cm ;14 m;01/06/2020;-23,188559;-45,873469;;/Arvore/DownloadImg/162, /Arvore/DownloadImg/163, /Arvore/DownloadImg/164, /Arvore/DownloadImg/165, /Arvore/DownloadImg/166, /Arvore/DownloadImg/167
5;Ligustro, Alfeneiro-da-china;Ligustrum lucidum, Visiania paniculata, Ligustrum japonicum;32 cm ;13 m;01/06/2020;-23,18863;-45,873508;/Arvore/DownloadLaudo/240;/Arvore/DownloadImg/214, /Arvore/DownloadImg/215, /Arvore/DownloadImg/216, /Arvore/DownloadImg/217, /Arvore/DownloadImg/218
6;Figueira, Ficus-benjamim, Ficus;Ficus benjamina;101 cm ;18 m;01/06/2020;-23,188676;-45,873585;;/Arvore/DownloadImg/27210, /Arvore/DownloadImg/27211, /Arvore/DownloadImg/27212, /Arvore/DownloadImg/27213, /Arvore/DownloadImg/224
7;Dracena;Dracaena arborea;20 cm ;9 m;01/06/2020;-23,188582;-45,873343;;/Arvore/DownloadImg/225, /Arvore/DownloadImg/226, /Arvore/DownloadImg/227, /Arvore/DownloadImg/228
8;Jasmim-manga;Plumeria rubra;29 cm  (base);8 m;01/06/2020;-23,188603;-45,87337;;/Arvore/DownloadImg/229, /Arvore/DownloadImg/230, /Arvore/DownloadImg/231, /Arvore/DownloadImg/232, /Arvore/DownloadImg/233
9;Dracena;Dracaena arborea;14 cm ;7 m;01/06/2020;-23,188617;-45,873353;;/Arvore/DownloadImg/234, /Arvore/DownloadImg/235, /Arvore/DownloadImg/236, /Arvore/DownloadImg/237
10;Dracena;Dracaena arborea;10 cm ;7 m;01/06/2020;-23,188624;-45,873338;;/Arvore/DownloadImg/15, /Arvore/DownloadImg/16, /Arvore/DownloadImg/17, /Arvore/DownloadImg/18
11;Dracena;Dracaena arborea;39 cm  (base);8 m;01/06/2020;-23,188619;-45,873322;;/Arvore/DownloadImg/19, /Arvore/DownloadImg/20, /Arvore/DownloadImg/21, /Arvore/DownloadImg/22
12;Ligustro, Alfeneiro-da-china;Ligustrum lucidum, Visiania paniculata, Ligustrum japonicum;58 cm ;17 m;01/06/2020;-23,188615;-45,873325;/Arvore/DownloadLaudo/241;/Arvore/DownloadImg/23, /Arvore/DownloadImg/24, /Arvore/DownloadImg/25, /Arvore/DownloadImg/26
13;Dracena;Dracaena arborea;13 cm ;8 m;01/06/2020;-23,188627;-45,873297;;/Arvore/DownloadImg/27, /Arvore/DownloadImg/28, /Arvore/DownloadImg/29
14;Goiaba, Goiabeira;Psidium guajava;9 cm ;5 m;01/06/2020;-23,188633;-45,873295;;/Arvore/DownloadImg/30, /Arvore/DownloadImg/31, /Arvore/DownloadImg/32
15;Yuca, Iuca;Yucca gigantea;24 cm ;7 m;01/06/2020;-23,188661;-45,873249;;/Arvore/DownloadImg/33, /Arvore/DownloadImg/34, /Arvore/DownloadImg/35, /Arvore/DownloadImg/36, /Arvore/DownloadImg/37
